imbalance_scenario,sample_size,seed,model,metric,value
(50:50),40,8,RandomForest,F1_score,0.8571428571428571
(50:50),40,8,RandomForest,Sensitivity,1.0
(50:50),40,8,RandomForest,Specificity,0.6666666666666666
(50:50),40,8,RandomForest,ROC_AUC,0.9444444444444444
(50:50),40,8,RandomForest,PR_AUC,0.9583333333333334
(50:50),40,8,RandomForest,Balanced_Accuracy,0.8333333333333333
(50:50),40,8,RandomForest,MCC,0.7071067811865476
(50:50),40,8,LogisticRegression,Accuracy,0.75
(50:50),40,8,LogisticRegression,F1_score,0.8
(50:50),40,8,LogisticRegression,Sensitivity,1.0
(50:50),40,8,LogisticRegression,Specificity,0.5
(50:50),40,8,LogisticRegression,ROC_AUC,0.888888888888889
(50:50),40,8,LogisticRegression,PR_AUC,0.9166666666666665
(50:50),40,8,LogisticRegression,Balanced_Accuracy,0.75
(50:50),40,8,LogisticRegression,MCC,0.5773502691896257
(50:50),40,8,MLP,Accuracy,0.75
(50:50),40,8,MLP,F1_score,0.8
(50:50),40,8,MLP,Sensitivity,1.0
(50:50),40,8,MLP,Specificity,0.5
(50:50),40,8,MLP,ROC_AUC,0.888888888888889
(50:50),40,8,MLP,PR_AUC,0.8972222222222221
(50:50),40,8,MLP,Balanced_Accuracy,0.75
(50:50),40,8,MLP,MCC,0.5773502691896257
(50:50),40,9,SVM,Accuracy,0.8333333333333334
(50:50),40,9,SVM,F1_score,0.8333333333333334
(50:50),40,9,SVM,Sensitivity,0.8333333333333334
(50:50),40,9,SVM,Specificity,0.8333333333333334
(50:50),40,9,SVM,ROC_AUC,0.9722222222222223
(50:50),40,9,SVM,PR_AUC,0.976190476190476
(50:50),40,9,SVM,Balanced_Accuracy,0.8333333333333334
(50:50),40,9,SVM,MCC,0.6666666666666666
(50:50),40,9,RandomForest,Accuracy,0.8333333333333334
(50:50),40,9,RandomForest,F1_score,0.8333333333333334
(50:50),40,9,RandomForest,Sensitivity,0.8333333333333334
(50:50),40,9,RandomForest,Specificity,0.8333333333333334
(50:50),40,9,RandomForest,ROC_AUC,0.888888888888889
(50:50),40,9,RandomForest,PR_AUC,0.8734126984126983
(50:50),40,9,RandomForest,Balanced_Accuracy,0.8333333333333334
(50:50),40,9,RandomForest,MCC,0.6666666666666666
(50:50),40,9,LogisticRegression,Accuracy,0.75
(50:50),40,9,LogisticRegression,F1_score,0.7272727272727273
(50:50),40,9,LogisticRegression,Sensitivity,0.6666666666666666
(50:50),40,9,LogisticRegression,Specificity,0.8333333333333334
(50:50),40,9,LogisticRegression,ROC_AUC,0.888888888888889
(50:50),40,9,LogisticRegression,PR_AUC,0.8734126984126983
(50:50),40,9,LogisticRegression,Balanced_Accuracy,0.75
(50:50),40,9,LogisticRegression,MCC,0.50709255283711
(50:50),40,9,MLP,Accuracy,0.9166666666666666
(50:50),40,9,MLP,F1_score,0.9090909090909091
(50:50),40,9,MLP,Sensitivity,0.8333333333333334
(50:50),40,9,MLP,Specificity,1.0
(50:50),40,9,MLP,ROC_AUC,0.9722222222222223
(50:50),40,9,MLP,PR_AUC,0.976190476190476
(50:50),40,9,MLP,Balanced_Accuracy,0.9166666666666667
(50:50),40,9,MLP,MCC,0.8451542547285166
(50:50),40,10,SVM,Accuracy,0.9166666666666666
(50:50),40,10,SVM,F1_score,0.9090909090909091
(50:50),40,10,SVM,Sensitivity,0.8333333333333334
(50:50),40,10,SVM,Specificity,1.0
(50:50),40,10,SVM,ROC_AUC,0.9722222222222223
(50:50),40,10,SVM,PR_AUC,0.976190476190476
(50:50),40,10,SVM,Balanced_Accuracy,0.9166666666666667
(50:50),40,10,SVM,MCC,0.8451542547285166
(50:50),40,10,RandomForest,Accuracy,0.8333333333333334
(50:50),40,10,RandomForest,F1_score,0.8333333333333334
(50:50),40,10,RandomForest,Sensitivity,0.8333333333333334
(50:50),40,10,RandomForest,Specificity,0.8333333333333334
(50:50),40,10,RandomForest,ROC_AUC,0.9305555555555556
(50:50),40,10,RandomForest,PR_AUC,0.9150793650793649
(50:50),40,10,RandomForest,Balanced_Accuracy,0.8333333333333334
